img,What_does_the_text_on_image_say?,How_many_people_are_in_the_image?,Can_you_summarize_the_image_in_brief?,task
1375422911180333057.jpg,sean devine tweeting that there is a load of horseshit accidents happen everything happens not controllable,There are no people in the image.,a tweet from sean devine,gun_control
1364987732431372310.jpg,"The text on the image reads, 'Follow me to germantown md'.",There are two people in the image.,The image shows a man sitting in a chair with a gun in his hand. The man is talking to another man who is also sitting in a chair with a gun in his hand.,gun_control
1331818147582779398.jpg,The text on the image reads 'guns stolen from vehicles'.,There are two people in the image.,a tweet about guns stolen from vehicles,gun_control
1354827710518837251.jpg,china established gun control in 1939-1945 dissidents were unable to defeat political dissidents,There are four people in the image.,china established gun control in 1939-1945 when millions of political dissidents were unable to be round up,gun_control
1365041005079253000.jpg,The text on the image reads:,There are two people in the image.,A comic book page with a man in a helmet and a woman in a trenchcoat.,gun_control
1373983025944481794.jpg,don't get twisted believe all lives matter,There are two people in the image.,a man is holding a gun with the words don't get twisted believe all lives matter,gun_control
1326853530565664769.jpg,a man is holding a gun in a gun store,There are no people in the image.,"The man in the white shirt is holding an AR-15 rifle in a gun store. He is aiming the gun at the target, indicating that he is ready to shoot.",gun_control
1367176019925467137.jpg,"did you know that protecting the 2nd amendment is good for americans, not only gun owners",There are 7 people in the image.,"the 2nd amendment is good for americans, not only guns",gun_control
1332954700912660480.jpg,stephen raddick,There are two people in the image.,a screenshot of a tweet from stephen raddick,gun_control
1318615265396011013.jpg,joe biden and kamala harris champions of gun safety legislation,There are two people in the image.,joe biden and kamala harris are the champions of gun safety legislation,gun_control
1369301121794248723.jpg,hr 9 the democrats unconstitutional gun grab,There are no people in the image.,hr 9 the democrats'unconstitutional gun grab,gun_control
1373119570584743938.jpg,The text on the image reads 'police'.,There are two people in the image.,a police officer is holding a phone in front of a door,gun_control
1359262009137725442.jpg,impeachment trial,There are no people in the image.,"A computer screen is displaying a video about the impeachment of the president. The text on the screen reads, ""That's what we're talking about.""",gun_control
1351628704267579395.jpg,the 2nd amendment,There are no people in the image.,The 2nd amendment states that a well-regulated militia being necessary for the security of the state and the right of the people to be infringed.,gun_control
1362407911134269446.jpg,three women on a video call,There are four people in the image.,"The image shows a tablet computer with four women on a video conference call, sitting at a desk. They are interacting with one another via a video call, which is likely a part of a business meeting or conference call. There is also a laptop on the table, which may be used for other purposes, such as browsing the internet or checking email.",gun_control
1321488365880041473.jpg,a shield with a maple leaf on it,There are no people in the image.,a red shield with a maple leaf on it,gun_control
1375859766598242307.jpg,nypd,There are four people in the image.,"The image features four police officers wearing face masks and standing next to a display of firearms. They are posing in front of a table, displaying the firearms in a safe and secure environment.",gun_control
1347327043961319424.jpg,an ar-15 lower receiver,There are no people in the image.,an ar-15 lower receiver with a woman's face on it,gun_control
1335935818360303618.jpg,quote by john epps,There are two people in the image.,"The man in the image is wearing a black shirt with a quote printed on it. He is wearing headphones while he is shooting a gun at a shooting range, which may indicate that he is taking part in a shooting competition or practice.",gun_control
1368268654920470532.jpg,The text on the image says that one way of life must be preserved.,There are four people in the image.,"a picture of a family with a dog is posted on a social media platform. the picture shows a woman, a man, and a dog in front of a grill. the text reads that a certain way of life must be preserved.",gun_control
1361116209765212162.jpg,one of these is used as a murder weapon in over cases each year and can be purchased the other is a background check,There are no people in the image.,one of these is used as a murder weapon in over cases each year and can be purchased without a background check,gun_control
1369696629909950471.jpg,Colorado Statistics 2015,There are no people in the image.,a table showing the crime statistics in colorado,gun_control
1327722605105713152.jpg,"you want to take our but you don't know jack, the problem",There are 2 people in the image.,a person's tweet with the words you want to take our guns but you don't jack about guns problem?,gun_control
1314620139178881025.jpg,the after effects of gunshot wounds considered conditions protecting our health care,There are no people in the image.,a statue of a courthouse with the words protect our health care,gun_control
1329727492731645957.jpg,biden,There are no people in the image.,The image shows a man with his fists raised in the air while speaking into a microphone at a political event.,gun_control
1368591191483195392.jpg,The text on the image reads:,There is one person in the image.,"The image depicts a person looking out of a window in a jail cell. The person is silhouetted against the dark background of the window, which provides a sense of privacy and security for the person. There is a cup on the table next to the window, suggesting that the person is enjoying his or her time inside the prison.",gun_control
1366426778068205572.jpg,John Hopkins Bloomberg School of Public Health scale from 1-10 big problem do you think ghost guns are,There are no people in the image.,a screenshot of the john hoffman school of public health,gun_control
1370111866610057217.jpg,week in wounds & homicides,There are no people in the image.,a screenshot of a cell phone showing the number of shootings in a city,gun_control
1346976662878003200.jpg,Far Cry 5 and BioShock Infinite,There are four people in the image.,far cry 5 and bioshock infinite are shown on the cover of a magazine.,gun_control
1346836374004113408.jpg,two hundred dollars,There are no people in the image.,an eagle on a blue background with the words two hundred dollars,gun_control
1370076078732087299.jpg,hr 9 the democrats unconstitutional gun grab,There are no people in the image.,hr 9 the democrats'unconstitutional gun grab,gun_control
1370751994818859009.jpg,pact nehemiah action,There are no people in the image.,a poster for the pact nehemiah action,gun_control
1347161515112230914.jpg,"The text on the image reads, 'President Trump'.",There are several people in the image.,a group of people holding american flags in a hallway,gun_control
1370058009322356742.jpg,background check now a virtual march,There are two people in the image.,"Several people are sitting in a living room with a photo of a woman and a man. The man is holding a sign that reads ""background check now a virtual march"", while the woman is holding a photo of a man.",gun_control
1348993865877884928.jpg,ben shapiro,There are two people in the image.,a screenshot of a facebook page with an image of president joe biden,gun_control
1368272446927695873.jpg,"The text on the image reads, ""Our way of life must be preserved.""",There are four people in the image.,a social media post with a picture of a family with guns and a dog in the background,gun_control
1333358157838618627.jpg,dear members of congress we will not obey,There are no people in the image.,a black and white poster with the words dear members of congress,gun_control
1318708474591776768.jpg,"Six Devastating, Disgusting, Disturbing Must Read Truths About Gun Violence in the United States",There are 6 people in the image.,"six devestating, distancing, distancing must read truths about gun violence in the united states",gun_control
1369013646215569410.jpg,after calls to defund violent police new york spike mayor asks questions about attacks,There are two people in the image.,a screenshot of a news article with a man and woman,gun_control
1367169170614358016.jpg,source of firearms,There are no people in the image.,"Source of firearms Overall, estimated 270, 000 prisoners were arrested during police operations in the United States",gun_control
1345798388697198593.jpg,The text on the image reads Moms Demand Action for Gun Sense in America.,There are two people in the image.,"The woman in the image is wearing a helmet and a shirt that reads ""Moms Demand Action"" while standing on a bridge. The woman is wearing a red shirt with the words ""Moms Demand Action"" written on it.",gun_control
1323378473663188994.jpg,don't be a bastard,There is one person in the image.,"The image features a woman wearing a red beanie and sitting at a desk with a laptop, a printer, and a bottle of water. There is also a bottle of water on the table, which may indicate that the woman is drinking from it.",gun_control
1349389412388327425.jpg,i pledge to defeat the nra has got to go,There are two people in the image.,two posters with the words i pledge to defeat the nra has got to go,gun_control
1325289958274428928.jpg,Any unarmed people are slaves or slaves at any black moment,There are two people in the image.,any unarmed people are slaves or slavery subject at any given black moment party,gun_control
1364386225457627139.jpg,nbc news,There are three people in the image.,"The image shows a television screen with two news anchors discussing the recent terrorist attacks in New York City and Washington, D.C. The news anchors are discussing the threats that the terrorists pose to the United States and their allies, as well as possible solutions to these threats.",gun_control
1347354879518339074.jpg,No,There is one person in the image.,a man in a suit holding a sign that says no,gun_control
1356693876510130176.jpg,the second amendment helps keep all law abiding americans safe,There are no people in the image.,the second amendment helps keep all law abiding americans safe,gun_control
1367255222846898176.jpg,Catherine Cortez Masto,There are no people in the image.,a blue background with the words catherine cortez masto on it,gun_control
1364370454429990913.jpg,nothing,There is one person in the image.,"The image features a man sitting at a desk and writing on a piece of paper. He is wearing a suit and a tie, which indicates that he is in a professional setting. There are several items around the desk, including a pen, a notebook, and a cup of coffee.",gun_control
1374530053078323202.jpg,we've suffered too much pain and care too much to allow us to continue,There are two people in the image.,an image of president obama with a quote that says we've suffered too much pain and care too much for too many children,gun_control
1325808623692476417.jpg,methods canada 2015 homicide number,There are no people in the image.,a cell phone with a table showing the number of shootings in canada,gun_control
1346517792082673664.jpg,man working with rifles,There are two people in the image.,"The image shows a man wearing a yellow bandana while working at a gun store. The man is preparing firearms for sale, which is a common practice in the United States. A gun store is a shop that sells firearms and related accessories, such as ammo, ammunition, and accessories. Gun stores can be a great source of information about firearms and their uses, as well as a place where people can buy and sell firearms.",gun_control
1346815585473196033.jpg,victory! we flipped the u s senate,There are no people in the image.,a poster that says victory we flipped the us senate,gun_control
1367220887431348233.jpg,ida wells a winchester rifle should have a place of honor,There are 2 people in the image.,"an image of ida wells with the quote, a winchester rifle should have a place of black honor,",gun_control
1358952682103398402.jpg,Stop Permit Carry of Firearms,There are no people in the image.,a poster with the words stop permit carry of firearms,gun_control
1366420718544584707.jpg,The text on the image reads how many more.,There are several people in the image.,a woman holds up a sign that says how many more,gun_control
1346686706204991488.jpg,dance party,There are several people in the image.,There is a group of people in a room dancing and singing.,gun_control
1314260560385638401.jpg,Protect Gun Laws,There are several people in the image.,"The image depicts a group of protestors holding signs that read ""Protect Gun Laws"" and ""Wednesday at Four Court"". The protestors are holding placards with the words ""Wednesday at Four Court"" and ""Protect Gun Laws"" written on them.",gun_control
1319798166225620996.jpg,all lives matter public murder politician rob,There are four people in the image.,"a poster with the words all lives matter, public murder, politician rob, japanese attorney, and steve simmons",gun_control
1316481779075674112.jpg,Ever wonder who controls these dummies?,There are two people in the image.,a cartoon of a man and woman with the words ever who controls these dummies,gun_control
1315074511520387072.jpg,big harpa,There are two people in the image.,The image features two people wearing face masks standing in front of two big harry signs. They are standing next to a playground with a grassy area and a playground equipment.,gun_control
1340680594594951169.jpg,we the people,There are no people in the image.,"An image of a gun on top of an american flag with the words ""we the people"" written on it.",gun_control
1357696548688265217.jpg,"The text on the image reads ""native american""",There are two people in the image.,An elderly man wearing a traditional Native American hat and a feathered headdress is looking at the camera.,gun_control
1330962451215638528.jpg,We're not safer carrying guns,There are several people in the image.,an infographic showing the number of gun crimes in the united states,gun_control
1331845284373082114.jpg,biden,There are no people in the image.,The image shows a man with his fists raised in the air while speaking into a microphone at a political event.,gun_control
1370120639294623747.jpg,hr 8 The Democrats' Unconstitutional Gun Grab,There are no people in the image.,hr 8 the democrat's unconstitutional gun grab,gun_control
1364410806834757633.jpg,"The text on the image reads, 'Returning drones can handle this'.",There are two people in the image.,a black screen with the text'returning drones can handle this' on it,gun_control
1375928615217545218.jpg,number of death causes,There are no people in the image.,a table showing the number of deaths caused by car accidents,gun_control
1347499329456463872.jpg,washington state legislature,There are no people in the image.,a screenshot of the washington state legislative website,gun_control
1363517280303390724.jpg,don jr,There are no people in the image.,"The image features a man standing in front of a wall full of guns, including rifles, shotguns, and handguns. The man is talking to the camera while looking at the various firearms displayed on the wall. The man is wearing a white shirt with a red tie, which indicates that he is a professional shooter. The man is holding a rifle in one hand and a shotgun in the other, indicating that he is an experienced shooter.",gun_control
1375846571611394050.jpg,The text on the image reads 'don't let the heat get you down'.,There are no people in the image.,"The image depicts a wooden post with two painted rocks on it, one of which is decorated with an image of a bird. The other rock is decorated with a message that reads, ""Stay Hot"". These two rocks are placed on top of a body of water, which could be a lake or a river.",gun_control
1354428222243565570.jpg,samantha mcdaniel,There are two people in the image.,a young woman in a blue dress smiling for the camera,gun_control
1370368310051749889.jpg,fuck naza,There are three people in the image.,"The image depicts a young girl sitting on a bench with a shirt that says ""fuck nazi"" on it. The girl is dressed in a red shirt and has a black belt around her waist.",gun_control
1325543521827364869.jpg,now that we beat nazis it's time for nuremberg to hold the trials,There are two people in the image.,"a tweet that reads, 'now we beat the nazis it's time for nuremberg to hold the trials",gun_control
1365035274733031425.jpg,55% of mass shootings involved a high capacity magazine,There are no people in the image.,55% of mass shootings involved a high capacity magazine,gun_control
1372363139677892608.jpg,Community Check In Collective Grief and Support Space,There are two people in the image.,a poster for a community check in,gun_control
1346552713564147712.jpg,ak-47,There are two people in the image.,A woman in shorts and a tank top is holding a gun in the desert,gun_control
1374697208231116809.jpg,sean tuesday gun hearing,There are two people in the image.,a screenshot of a twitter page showing a man in a suit sitting at a table with a gun in his hand,gun_control
1356739192500473857.jpg,nothing,There is one person in the image.,"The image features a man in a suit and tie, posing for a portrait. He is wearing a black suit with a red tie, which indicates that he is dressed appropriately for a professional setting.",gun_control
1372391255280386052.jpg,man sitting in library,There is one person in the image.,"The image features a man in a suit sitting on a chair in a library. He is wearing glasses and a beard, suggesting that he may be a scholar or a professor. The man is sitting in front of several bookshelves, which could indicate the presence of a library or an academic institution.",gun_control
1375155929029750785.jpg,gun deaths and ownership population by u s,There are 0 people in the image.,gun deaths and ownership by country,gun_control
1313147306728919040.jpg,countrywide firearms,There are two people in the image.,"The image shows a woman wearing earplugs and aiming at a target at a country wide shooting range. The woman is wearing protective gear to protect her ears from the loud noise of the gunshot, which is common in shooting ranges. The red color of the earplugs adds an extra layer of protection for the shooter, making it easier to focus on the target.",gun_control
1366075116778450946.jpg,The text on the image reads 'it police afi'.,There are four people in the image.,Several police officers are climbing out of the window of a house,gun_control
1362456353747386368.jpg,biden,There are no people in the image.,president joe biden speaks at a podium while wearing a face mask,gun_control
1375447448445988866.jpg,nothing,There are two people in the image.,The image depicts a young girl talking to her mother in a park. The woman is wearing a denim jacket and has a smile on her face as she interacts with the girl. The relationship between the woman and the girl is likely to be positive and encouraging for the young girl.,gun_control
1318950066942607370.jpg,nyag and giffords,There are two people in the image.,"The image depicts a woman with a baby stroller in front of an advertisement for brady pc, nygav, and giffords.",gun_control
1372599472333729795.jpg,off course,There are two people in the image.,a screenshot of a text message,gun_control
1370204122536939522.jpg,gun control for dummies,There are two people in the image.,"A cartoon depicting a man with a gun and a woman with a gun is shown in the image. The caption reads, ""Gun control for dummies"" and includes a picture of a man with a gun and a woman with a gun.",gun_control
1358094391357837313.jpg,Rise against gun violence,There are no people in the image.,an image of a poster that reads rise against gun violence.,gun_control
1323609643998879748.jpg,three people posing in front of house,There are three people in the image.,"The image features a group of three people posing for a photo in front of a house. The woman is wearing a red dress, while the man is wearing a white shirt and a red tie. They are standing in front of a grassy area with a flag in the background, suggesting that they are enjoying a pleasant day outdoors.",gun_control
1374920585214631939.jpg,how the u s has the lowest rate of violent deaths worldwide,There are no people in the image.,a graph showing how the u.s. has the lowest rate of violent gun deaths in the world,gun_control
1340089047461621761.jpg,Let's treat guns like cars,There are no people in the image.,a poster that says let's treat guns like cars?,gun_control
1375587700942778369.jpg,How can we prevent mass shooting? Shoot back,There are two people in the image.,how can we prevent another mass shooting? shoot back,gun_control
1338485650253877257.jpg,We remember Sandy Hook,There are two people in the image.,"a photo of a man in a jacket standing in front of a christmas tree in newtown, connecticut",gun_control
1334523148692312065.jpg,olympics,There are two people in the image.,a woman is shooting a shotgun during a competition,gun_control
1350823638057025537.jpg,The text on the image says dare to be heard or join the herd.,There are no people in the image.,"an image of a woman with the words dare to be heard, join the herd",gun_control
1342962964261818368.jpg,What world could television ever be?,There are no people in the image.,"The image depicts a gun in the shape of an alien with a question mark in the background. The question mark represents the question, ""What world could possibly have such a weapon?"" The image is part of a conceptual art piece that explores the question, ""What world could possibly have such a weapon?"". The image shows a gun in the shape of an alien with a question mark in the background. The question mark represents the question, ""What world could possibly have such a weapon?"". The image is part of a conceptual art piece that explores the question, ""What world could possibly have such a weapon?"". The image shows a gun in the shape of an alien with a question mark in the background. The question mark represents the question, ""What world could possibly have such a weapon?"". The image is part of a conceptual art piece that explores the question, ""What world could possibly have such a weapon?"". The image shows a gun in the shape of an alien with a question mark in the background. The question mark represents the question, ""What world could possibly have such a weapon?"". The image is part of a conceptual art piece that",gun_control
1349912986949996545.jpg,"The text on the image reads ""green county tavern"" and features a cowboy hat, guns, and bullets.",There are no people in the image.,"The image features a brown cowboy hat, a revolver, and several bullets on a wooden table. The hat, revolver, and bullets are likely to be used in a western-themed event, such as a western-themed costume party or a western-themed birthday party. The hat, revolver, and bullets are likely to be used in a western-themed event, such as a western-themed costume party or a western-themed birthday party. The hat, revolver, and bullets are likely to be used in a western-themed costume party, such as a western-themed costume party or a western-themed birthday party. The hat, revolver, and bullets are likely to be used in a western-themed costume party, such as a western-themed costume party or a western-themed birthday party. The hat, revolver, and bullets are likely to be used in a western-themed costume party, such as a western-themed costume party or a western-themed birthday party. The hat, revolver, and bullets are likely to be used in a western-themed",gun_control
1338282630379433987.jpg,children,There are a total of 16 people in the image.,a collage of children with different hairstyles and facial expressions,gun_control
1365790071694258184.jpg,Sen Jeff Wilson and Tim Sheldon are featured in the image.,There are two people in the image.,"a photo of two men, one with a beard and the other with a moustache.",gun_control
1352127666107916288.jpg,"Huh, I wonder who that's for",There are no people in the image.,a cartoon of garfield with the words huu i wonder who that's for,gun_control
1328187725736919040.jpg,fing flaws,There are no people in the image.,a cartoon of a hand holding a gun with bullets in it,gun_control
1369527050873233408.jpg,The text on the image reads i will not comply.,There are no people in the image.,Two guns with the words i will not comply are shown on a white background,gun_control
1370097995090440193.jpg,the second amendment shall not be infringed,There are no people in the image.,"The second amendment shall not be infringed is written on a blue background with an american flag and the words, the second amendment shall not be infringed.",gun_control
1358761374269243392.jpg,people sitting in the house of lords,There are several people in the image.,"The image shows a full house of people sitting in green seats in a parliament chamber. There are several people in suits sitting in the room, and there is also a table with a laptop computer nearby.",gun_control
1361446063874392065.jpg,a person without skills can turn an infinitely functional frame for fem tools less than an hour,There are no people in the image.,a person's gunsmithing skills can turn an inexhaustible functional frame for fen tools less work,gun_control
1371535699795570691.jpg,There are no other rights if you can't defend them,There are no people in the image.,a gun with the words there are no other rights if you can't defend them,gun_control
1350572021835591680.jpg,praying u gets shot in school shooting u deserve it,There are 12 people in the image.,a tweet with the text praying kids shot in school shooting u deserve iphone,gun_control
1318576302354501632.jpg,pride fund to end discrimination,There are two people in the image.,a picture of a woman with the words pride fund on it,gun_control
1357056263415300100.jpg,Blaming inanimate objects won't make anyone safer,There are no people in the image.,a group of guns with a quote that says blaming inanimate objects won't make anyone safer,gun_control
1339958623347347464.jpg,olympics,There are two people in the image.,a woman is shooting a shotgun during a competition,gun_control
1368565606124052480.jpg,children who live in a home with a gun are x the risk of homicide and x the risk of suicide,There are two people in the image.,children who live in a home with a gun at x risk of homicide and x risk of suicide,gun_control
1320171223817555969.jpg,Bad guys don't follow laws,There are no people in the image.,a man speaking into a microphone with a quote about bad guys don't follow laws,gun_control
1352384047276838912.jpg,U gun violence epidemic lack of common gun laws,There are two people in the image.,a cartoon of a man holding a ghost with the text u s gun violence epidemic lack of common gun laws,gun_control
1370087264240476171.jpg,It's time for congress to end gun violence,There are no people in the image.,it's time for congress to end gun violence,gun_control
1324005515219947525.jpg,Congratulations lucy mcbath georgia's 6th congressional district,There are two people in the image.,lucy mcbath is the new representative for georgia's sixth congressional district,gun_control
1344635368528871425.jpg,happy new year we want to make our members the largest effective second amendment in the nation,There are two people in the image.,a man is holding an nasa gun with the text happy we want our members to have the largest effective second amendment in nasa history,gun_control
1366814650155868165.jpg,pheasants,There are two people in the image.,"The image depicts a man standing in the back of a pickup truck with a number of pheasants in the bed. The man is wearing an orange vest and holding a gun, indicating that he is hunting pheasants or other game animals. The man is likely preparing the pheasants for sale or consumption. The man may be preparing the pheasants for sale or consumption, or he may be preparing the pheasants for sale or consumption. The man may be preparing the pheasants for sale or consumption, or he may be preparing the pheasants for sale or consumption, or he may be preparing the pheasants for sale or consumption, or he may be preparing the pheasants for sale or consumption, or he may be preparing the pheasants for sale or consumption, or he may be preparing the pheasants for sale or consumption, or he may be preparing the pheasants for sale or consumption, or he may be",gun_control
1321215966160715776.jpg,hearing schedule,There are no people in the image.,a hearing schedule for the indictment of firearms and weapons offense criminal,gun_control
1370054901397663752.jpg,"The text on the image reads ""odd""",There is one person in the image.,The image features a man wearing a face mask in a room with a painting of crabs. The man is standing in front of the painting and wearing a suit and tie. The man is wearing a face mask to protect his face from the germs present in the room.,gun_control
1362122700630593538.jpg,new york,There are two people in the image.,"The image features a man in a suit shaking hands with a woman in a wheelchair. The woman is sitting in a wheelchair, which may indicate that she is in a wheelchair due to a medical condition or injury.",gun_control
1372342809047527424.jpg,of the 20 deadliest shootings in the past were motivated by white supremacy,There are 3 people in the image.,of the 20 deadliest shootings in the past decade were motivated by white supremacy,gun_control
1374769271872569354.jpg,An image of a man with a beard and tie sitting in a meeting room.,There is one person in the image.,a man in a suit sitting at a table with his hand on his chin,gun_control
1314255501425811458.jpg,Our Court,There are no people in the image.,an image of the supreme court with the words ourcourt on it,gun_control
1319655762361225216.jpg,bill would make it easier for at,There are no people in the image.,an image of a bill that would make it easier for att to deal with crime.,gun_control
1340055420346445827.jpg,"The text on the image reads, ""Cooco Cluster Pecan Trail Mix"".",There are no people in the image.,a can of cooco clusters with pecans in it on a white background,gun_control
1368683634148990979.jpg,an average home is not a safe home,There are no people in the image.,"An infographic with the title ""an average house is not a safe home""",gun_control
1371507002564808709.jpg,Second Amendment Right to Keep and Bear Arms,There are no people in the image.,An image of an eagle with the words second amendment right to keep and bear arms,gun_control
1354861222831644672.jpg,barrett m41a1gb semi automatic rifle,There are no people in the image.,a barret m1a1 semi-automatic rifle for sale on amazon,gun_control
1334946604768403456.jpg,13 Reasons Why Not to Be a Liberal and How to Enlighten Others,There are 2 people in the image.,13 reasons why not to be a liberal,gun_control
1355264845420003328.jpg,this joe biden in the best school gun zones act since schools happened 1970,There are no people in the image.,this is joe biden in the best of the school gun act of 1970,gun_control
1363549506411847681.jpg,black and white image of a building,There are no people in the image.,two black and white photos of a building at night,gun_control
1358817572989394944.jpg,"the 2nd amendment a well regulated militia being a security of a free state, arms shall not be infringed",There are no people in the image.,the 2nd amendment is a well regulated military being a security of a free state,gun_control
1344464055390629888.jpg,gun registrierung sprüllen unter sahl,There are no people in the image.,an image of a man holding a rifle in a news article.,gun_control
1354881936519528448.jpg,Criminals do not follow gun control laws,There are no people in the image.,a poster that says criminals do not follow gun control laws,gun_control
1361341033452351501.jpg,is this supporting the troops 500 vets are homeless 1 vet commits suicide every hour,There are two people in the image.,two soldiers hugging each other with the caption is this supporting the troops 5000 vets are homeless one vet commits suicide every hour,gun_control
1345529605860577282.jpg,back in the 1960s and even introduced my high school students to society that now,There are several people in the image.,back in the 1960s and even though my high school students own could trust society activities,gun_control
1354829144471834626.jpg,the text on image says,There are no people in the image.,an image of a purple background with a small square in the middle,gun_control
1375125332794216451.jpg,Breaking News White House Intervenes in Push for New Coin Legislation,There is one person in the image.,a man in glasses is talking about the white house's push for new coin legislation,gun_control
1357251315810902016.jpg,nehemiah 17 verses,There are no people in the image.,nehemiah verses on a cell phone screen,gun_control
1375152872837484550.jpg,The text on the image reads no more guns.,There are several people in the image.,"A young boy wearing a face mask is holding a sign that reads ""No More Guns"" during a protest.",gun_control
1348852295690235906.jpg,The text on the image reads ibm.,There are no people in the image.,an ibm logo on a blue background,gun_control
1360767951331188736.jpg,fbi warned of white supremacy in 10 years ago anything changed,There are no people in the image.,fbi warned of white supremacists in 10 years ago anything changed,gun_control
1375090907331051533.jpg,military planes,There are no people in the image.,"The image features a collage of military aircraft, including helicopters, planes, and an aircraft carrier. These aircraft are part of the United States Navy's fleet and may be used for various purposes, such as surveillance, reconnaissance, or combat operations. The military aircraft in the collage represent different types of aircraft, including helicopters, planes, and drones. The military aircraft in the collage represent different types of aircraft, including helicopters, planes, and drones. The military aircraft in the collage represent different types of aircraft, including helicopters, planes, and drones. The military aircraft in the collage represent different types of aircraft, including helicopters, planes, and drones. The military aircraft in the collage represent different types of aircraft, including helicopters, planes, and drones. The military aircraft in the collage represent different types of aircraft, including helicopters, planes, and drones. The military aircraft in the collage represent different types of aircraft, including helicopters, planes, and drones. The military aircraft in the collage represent different types of aircraft, including helicopters, planes, and drones. The military aircraft in the collage represent different types of aircraft, including helicopters, planes,",gun_control
1319276575985004544.jpg,gun control,There are three people in the image.,"The image depicts a woman lying on the ground with a gun in her hand. A police officer is assisting the woman, who is being treated for gunshot wounds. The theory that a woman was found with a gun in her hand is based on the theory that a woman found with a gun in her hand is likely to be found with a gun in her hand. According to the theory, a woman found with a gun in her hand is likely to be found with a gun in her hand.",gun_control
1374971900644888581.jpg,tyrone dubois tweets the highest number of unemployed people in the country,There are two people in the image.,a screenshot of a twitter page showing a map of the united states,gun_control
1362570737786245123.jpg,donald is a charlatan needs a real republican,There are two people in the image.,a poster with a picture of jack catterall and a quote that says donald trump needs a real republican,gun_control
1323748106467422209.jpg,i voted by mail,There are no people in the image.,"The image shows a person holding a sticker that reads ""i voted by mail"" in front of a table with a flower arrangement.",gun_control
1352711940175507462.jpg,fisum arga met senior american expert on africa when tigris region in law,There are no people in the image.,"a tweet from fisum argum, an american expert on african law in the tigris region",gun_control
1364573146058280965.jpg,my stance on the 2nd amendment is simple,There are no people in the image.,a quote from luis miguel,gun_control
1374361433375436808.jpg,right to bear arms,There are no people in the image.,a screenshot of an app with the text right to bear arms,gun_control
1364591401024040960.jpg,gun,There are two people in the image.,"The image features a young boy wearing goggles and holding a gun with a bullet in it. The boy appears to be having fun playing with the gun, as he smiles and holds the gun in his hands. It is likely that the boy is participating in a shooting activity, such as hunting or target practice.",gun_control
1374552703829897217.jpg,want to stop drunk drivers from killing sober drivers ban the sober driving that's how gun works,There are no people in the image.,want to stop drunk drivers from killing sober drivers,gun_control
1365026908346400769.jpg,acting u s capital chief say they will kill the union,There are two people in the image.,a screen shot of a news article with a police officer in the background,gun_control
1364961620976361472.jpg,biden considers regulating guns other executive actions to curb gun violence,There are no people in the image.,a photo of president biden in front of a microphone,gun_control
1323987023548567564.jpg,Congratulations to Alan Loewenthal of California's 5th congressional district.,There is one person in the image.,california's 5th congressional district is represented by alan loewenthal,gun_control
1357464939867340802.jpg,"Say no guns to say yes to sensors, sensors, and solutions",There are two people in the image.,a cartoon of two people holding signs that say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no guns to say no,gun_control
1375308390017208321.jpg,i don't know,There are two people in the image.,"The image depicts a person holding an AR-15 rifle in front of an American flag. The person is wearing a shirt with an american flag on it, indicating that they are participating in a patriotic event or rally. The rifle is likely to be used for self-defense or as a form of self-defence during the event.",gun_control
1320781660686864390.jpg,the news observer endorser wiley nickel,There are 2 people in the image.,an ad for wiley nickel from the news observer,gun_control
1324082383516217354.jpg,2020 election gun violence perception competitions winner lucy martin,There are two people in the image.,lucy martin is the winner of the 2020 election,gun_control
1367145013923184642.jpg,"The text on the image reads ""canadian maple leaf"" in red and black.",There are no people in the image.,a red shield with a maple leaf on it,gun_control
1340760504613146631.jpg,The text on the image reads:,There are no people in the image.,a flintlock gun with a wooden barrel on a concrete floor,gun_control
1361631444674748418.jpg,biden,There are no people in the image.,The president of the United States is sitting at a desk with stacks of books in front of him.,gun_control
1368913254668509185.jpg,"The text on the image reads, ""Confidential"" and ""Minneapolis, MN"".",There are six people in the image.,"a collage of faces with the words ""convict"" written on them",gun_control
1358802894376607749.jpg,i want to be a part of the team,There are no people in the image.,"The image features a laptop on a coffee table in a living room, with a red mug nearby. There is also a ladder on the table, suggesting that the room is currently being renovated. Other items on the table include a notebook, a pen, and a pencil.",gun_control
1357142533768380416.jpg,do something read rich nixon's reform ideas,0,read rich neign's reform ideas,gun_control
1374564630106759170.jpg,mia,There are no people in the image.,a document with the words mia on it,gun_control
1374838143694823426.jpg,nothing,There are four people in the image.,"The image features a man in a turban shaking hands with a young woman in a library. The young woman is wearing a red shirt, which indicates that she is a student. There are several bookshelves in the background of the image, suggesting that the young woman is studying at a university or college.",gun_control
