img,What_does_the_text_on_image_say?,How_many_people_are_in_the_image?,Can_you_summarize_the_image_in_brief?,task
1206997638312267777.jpg,alan guantanamo reasons the freedom to choose abortion,There are no people in the image.,an image of an fetus with the words abortion in faith,abortion
1107298937663340544.jpg,"this is what we looked at 12 weeks in the womb, legal 50 states",There are no people in the image.,"this is what we looked like at 12 weeks in the womb, legal 50 states it doesn't pass a long life",abortion
1364902967946674179.jpg,baby guinea pig,There are no people in the image.,"The image shows a baby mouse in a person's hand. The mouse may be a newborn or an adult mouse, depending on the context of the image. The mouse is likely to be a pet or a companion animal for the person who is holding it.",abortion
1291969379752525824.jpg,fetus,There are two people in the image.,a pregnant woman sleeping with her baby in the womb on a blue background,abortion
1171519474970710016.jpg,33% of women having abortions report suffering complications,There are two people in the image.,33% of women having abortions report suffering health complications,abortion
1215740117165527046.jpg,girl sitting on window sill,There is one person in the image.,"The image depicts a woman sitting on a window sill, holding her head in her hands, and looking out of the window. Her expression is sad and depressed, suggesting that she is experiencing some sort of mental health issue.",abortion
1234204354149801986.jpg,cassidy j,There are no people in the image.,a facebook page with a picture of a woman,abortion
1213889098815066114.jpg,christians against christianity,There are no people in the image.,a tweet about christians against christianity,abortion
1299115331537993728.jpg,Prolife is not a republican or democratic issue it's a human rights issue,There are no people in the image.,an image of a pregnant woman with the words prolife is not a republican or democratic issue it's a human rights issue,abortion
1195716157615091714.jpg,"The text on the image reads ""Planned Parenthood"".",There are no people in the image.,"The image shows a sign that reads ""Planned Parenthood"" on the side of a brick building. The sign is illuminated by a light, which indicates that it is daytime.",abortion
1120660667458039808.jpg,Summary table showing the results of analysis of phlorotetracycline,There are no people in the image.,a summary table showing the results of analysis of pfrx,abortion
1257322150207209474.jpg,Fact 65% of individuals who seek abortions are already parents,There are 2 people in the image.,50% of individuals who seek abortions are already parents,abortion
1198732847240097793.jpg,"m, n, s, o, v, e, t, u, v, e, t, u, v, e, t, u, v, e, t, u, v, e, t, u, v, e, t, u, v, e, t, u, v, e, t, u, v, e, t, u, v, e, t, u, v, e, t, u, v, e, t, u, v, e, t, u, v, e, t, u, v, e, t, u, v, e, t, u, v, e, t, u, v, e, t, u, v, e, t, u, v, e, t, u, v,",There are no people in the image.,"Several red, white, and black squares are displayed on a white background. The squares represent different types of music genres, such as rock, pop, and country.",abortion
1187052832924585984.jpg,"A woman is holding a sign that reads ""No to gun violence"" in Times Square.",There are several people in the image.,a woman holding a sign in the middle of a busy city street,abortion
1214920470426005512.jpg,which one of these babies was convinced in rape?,There are 5 people in the image.,which one of these babies was convinced in rape?,abortion
1352350662189715456.jpg,we must rid ourselves once and for all of the quaker papacy sanctity of human life,There are no people in the image.,a quote from leon trotsky,abortion
1151536067243401224.jpg,revire news,There are no people in the image.,a screenshot of a news article on a phone,abortion
1141294560989143040.jpg,nefazodone,There are no people in the image.,"A person is holding a packet of pills on top of a pile of papers and receipts. It is likely that the person is using the pills to treat a medical condition, such as diabetes or high blood pressure.",abortion
1185231617264181248.jpg,nothing,There are no people in the image.,"The image features a sandy beach with a few rocks in the water and a person walking along the shore. The person is likely to be a surfer or a sailor, as they are likely to be familiar with the ocean and its waves. The surfer may also be a surfer or a sailor, as they are likely to be familiar with the ocean and its waves. The surfer may also be a surfer or a sailor, as they are likely to be familiar with the ocean and its waves. The surfer may be a surfer or a sailor, as they are likely to be familiar with the ocean and its waves. The surfer may also be a surfer or a sailor, as they are likely to be familiar with the ocean and its waves. The surfer may also be a surfer or a sailor, as they are likely to be familiar with the ocean and its waves. The surfer may also be a surfer or a sailor, as they are likely to be familiar with the ocean and its waves. The surfer may also be a",abortion
1233072334921093121.jpg,nothing,There is one person in the image.,"The image depicts a woman holding a photo of a pregnant woman. The woman is holding the photo in her hand, indicating that she is holding a photo of a pregnant woman. The photo could be a pregnancy announcement or a birth announcement, depending on the context of the image.",abortion
1277615497098362880.jpg,Protect Protect Life Virtual Supreme Court Rally,There are three people in the image.,"A virtual supreme court rally is taking place in front of a group of women holding signs. The text on the sign reads protect, protect life, a virtual supreme court rally.",abortion
1276149707883130880.jpg,if it's always wrong to deliberately kill an innocent person then innocent abortion is wrong,There are no people in the image.,a quote by peter kretsch,abortion
1257513793975918594.jpg,guide to madness of deaths in the world making abortion illegal,There are no people in the image.,a suitcase with the words guide to making abortion illegal,abortion
1042760469168226304.jpg,diamond d mcdonald,There are no people in the image.,a screenshot of a facebook page with a message on it,abortion
1308151821169459201.jpg,"Feminism, Next Justice Could Determine Fate of Critical Rights and Protections",There are no people in the image.,a document with the title feminism next justice could determine fate of critical rights and protections,abortion
1230552745490419712.jpg,Real human rights don't eliminate human beings,There are two people in the image.,"a grassy field with a sign that reads, ""real human rights don't eliminate human beings.""",abortion
1357783017931030528.jpg,"blueprint for sexual and reproductive health, rights, and justice",There are no people in the image.,"a blue cover with the words blueprint for sexual and reproductive health, rights, and justice",abortion
1256980599346257923.jpg,Alliance for Life Endorses Dan Flynn,There are two people in the image.,a man in a cowboy hat with the words alliance for life and endorsers,abortion
1276571861480992768.jpg,chicago blvd is all about politics,There are two people in the image.,a screenshot of a twitter post showing a man in a suit,abortion
1074035476258934784.jpg,fetus,There are no people in the image.,"An image of a baby fetus in the womb with its hands raised in the air. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development. The baby is likely to be a boy or a girl, depending on the stage of development.",abortion
1237371365000429569.jpg,March 10th National Abortion Provider Celebrate Independent Abortion Care Providers,There are no people in the image.,A poster with the text 'celebrate independent abortion care providers' on it.,abortion
1138844385561522180.jpg,the text on image says nothing,There are no people in the image.,Several pills and an ultrasound image are shown on a black background.,abortion
1220320179336425473.jpg,i am abortion rights not your rights human rights,There are several people in the image.,a group of people holding signs that say i am abortion not your abortionist and human rights,abortion
1254155731370217472.jpg,obstetrics,There are no people in the image.,"The image features a pink medical examination table in a room with a white background. The table is equipped with a pair of pink pillows, which can be used to provide comfort and support for the patient during the procedure. Additionally, there is a refrigerator in the room, which could be used to cool down the patient's body during the procedure.",abortion
1038067403668611074.jpg,baby's hands up in the air,There are no people in the image.,"The image shows a newborn baby laying on a bed, with its hands raised up in the air. It is likely that the baby is asleep, as it appears to be in a state of sleep. The baby's eyes are closed, which may indicate that the baby is not yet fully awake.",abortion
1222867334114824193.jpg,not a mistake not a problem not a burden not an interruption not a punishment,There are no people in the image.,"not a mistake, not a problem, not a burden, not an interruption, not a punishment",abortion
1211678573133742082.jpg,"The text on the image reads, ""Never if you're again.""",There are several people in the image.,"a group of women holding signs that read, never if you're again",abortion
1148500943694127104.jpg,% of people in northern ireland believe that both sides are wrong,There are 2 people in the image.,a poster that says % of people in northern ireland believe that women are worse than men,abortion
1302517069112643584.jpg,links and phone numbers,There are no people in the image.,links and phone numbers links and phone numbers esrs www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www esrs org uk www,abortion
1271822744141869057.jpg,hgtv,There is one person in the image.,"The image shows a woman looking at a website on a laptop computer. The woman's head is tilted to the side, suggesting that she is looking at something on the screen. The website in the image is likely a dating website or an online dating service. The woman's head is tilted to the side, suggesting that she is looking at something on the screen. The website in the image is likely a dating website or an online dating service. The woman's head is tilted to the side, suggesting that she is looking at something on the screen. The website in the image is likely a dating website or an online dating service. The woman's head is tilted to the side, suggesting that she is looking at something on the screen. The website in the image is likely a dating website or an online dating service. The woman's head is tilted to the side, suggesting that she is looking at something on the screen. The website in the image is likely a dating website or an online dating service. The woman's head is tilted to the side, suggesting that she is looking at something on the screen. The website in the image is likely a",abortion
1164991967492751361.jpg,the text on image says science world life,There are a large number of people in the image.,A black and white photo of a group of people holding signs in front of a white house.,abortion
1027186977416916993.jpg,Adios,There are no people in the image.,a green poster with the word adios on it,abortion
1076201531685388288.jpg,The text on the image reads Your Convenient Healthcare.,There are two people in the image.,"Two daycare workers are standing in front of a building with a sign that reads, ""Your Convenient Healthcare"". The workers are wearing yellow vests to protect themselves from the elements. They are standing in front of a building with a sign that reads, ""Your Convenient Healthcare"".",abortion
1047926598668881922.jpg,family,There are four people in the image.,"The image depicts a family sitting on a couch with a baby in their arms. The family is smiling and holding the baby, which suggests that they are having a good time together. There are several people in the image, including an older man, an older woman, and a young girl. The older man is holding a smartphone, while the younger woman is holding a tablet. The older woman is wearing a blue shirt, while the young girl is wearing a pink shirt. The family members are all smiling and engaging with one another, indicating that they are having a good time together.",abortion
1211712029377122310.jpg,smile,There are no people in the image.,a baby with blue eyes is smiling while sitting on a chair,abortion
1156020465862762496.jpg,gore about abortion the first time some leaders allow a child to be born alive in texas,There are four people in the image.,a group of people in front of a sign,abortion
1067479426961686529.jpg,Your giving tuesday donation makes a difference,There are two people in the image.,a poster with a woman's body and the words your giving tuesday donation makes a difference,abortion
1237423169344081925.jpg,restoring the meaning of life,There are no people in the image.,an image of a blue van with an arrow pointing to the text redefining the meaning of life,abortion
1204522215145984000.jpg,feet,There are no people in the image.,"The image shows the feet of a newborn wrapped in a white blanket. The baby's feet are covered with a white sheet, suggesting that the baby is lying on his or her side. The baby's feet are wrapped in a white sheet, suggesting that the baby is lying on his or her side. The baby's feet are wrapped in a white sheet, suggesting that the baby is lying on his or her side. The baby's feet are wrapped in a white sheet, suggesting that the baby is lying on his or her side. The baby's feet are wrapped in a white sheet, suggesting that the baby is lying on his or her side. The baby's feet are wrapped in a white sheet, suggesting that the baby is lying on his or her side. The baby's feet are wrapped in a white sheet, suggesting that the baby is lying on his or her side. The baby's feet are wrapped in a white sheet, suggesting that the baby is lying on his or her side. The baby's feet are wrapped in a white sheet, suggesting that the baby is lying on his or her side. The baby's feet are wrapped in a white sheet, suggesting",abortion
1215680264447385600.jpg,i love you,There are two people in the image.,"The image depicts a woman wearing a red earphone with a piece of paper covering her mouth. She is holding the earphone in her mouth to listen to music, which may be a sign that she is listening to music or listening to an audiobook. The presence of the earphones could indicate that she is listening to music or listening to an audiobook while wearing the earphones. The earphones could also be a sign that she is listening to music or listening to an audiobook while wearing the earphones. The earphones could be a sign that she is listening to music or listening to an audiobook while wearing the earphones. The earphones could be a sign that she is listening to music or listening to an audiobook while wearing the earphones. The earphones could be a sign that she is listening to music or listening to an audiobook while wearing the earphones. The earphones could be a sign that she is listening to music or listening to an audiobook while wearing the earphones. The earphones could also be a sign that she is listening to",abortion
1202166799808241664.jpg,abortion is murder,There are several people in the image.,"The image shows a group of people holding a sign that reads ""abortion is murder"" in front of the Supreme Court building.",abortion
1362431821196234753.jpg,abortion is,There are four people in the image.,"The image features four young women posing for a photo in front of a tree. They are wearing shirts with the slogan ""abortion is not an option"" and are standing next to each other, indicating their support for the issue. The women are wearing earrings, which may be a sign of their support for abortion rights.",abortion
1072339354654257153.jpg,race sorting interruption is international racial discrimination violation,There are two people in the image.,an image of two dolls with the words i am japanese aaa race sorting interuption international racial discrimination violation,abortion
1361661800534716416.jpg,Organization has prepared for years to explore a pandemic,There are no people in the image.,a news article about the coronavirus pandemic,abortion
1269277873376034816.jpg,The text on the image says facebook censored.,There are no people in the image.,a thumbs down sign with the word facebook censored on it,abortion
1365142672659410945.jpg,Does this look like a tool of compassion?,There are no people in the image.,a pair of scissors with the words does this look like a tool of compassion?,abortion
1123376795020156928.jpg,eyewitness describes the murder of late term abortion survivors who were drowned in acid saline,There are no people in the image.,eyewitness describes the murder of late term abortion survivors in babies who were drowned in acid saline,abortion
1235672701953601564.jpg,It is wrong to hide the realities of abortion behind the word choice,There are no people in the image.,it is wrong to hide the realities of abortion behind the word choice,abortion
1124009336764796929.jpg,falling to over kelly g gop is a temporary setback,There are two people in the image.,a photo of a man with glasses and a quote from kelly veto,abortion
1263251313053368329.jpg,laura klausens post murder,There are two people in the image.,a couple of text messages from a woman who is pregnant with a baby,abortion
1124357228025319429.jpg,mine think you missed abortions in that basically banning taking away the,There are two people in the image.,"a text that reads, mine think you missed abortions in that case basically banning abortions is taking the rights away from those who don't have them",abortion
1226548075101114369.jpg,fetus,There are no people in the image.,"An image of a baby fetus in the womb, with a fertilized egg inside.",abortion
1263744765004320768.jpg,the dictionary definition of murder,There are no people in the image.,the dictionary definition of murder,abortion
1221907998152577024.jpg,governor of california,There are no people in the image.,a letter from the governor of california,abortion
1154842077747974146.jpg,two women hugging with a quote,There are two people in the image.,an illustration of two women hugging each other with a quote on the background,abortion
1231217272615776259.jpg,that day part of us died,There are no people in the image.,a man wearing a hat with a quote that reads that day part of us died,abortion
1091005032277962753.jpg,77% anti abortion leaders are men 100% of them will not be pregnant,There are six people in the image.,a poster that says 77% of anti-abortion leaders are men,abortion
1187777602662080512.jpg,high five,There are two people in the image.,"The image features a silhouette of two hands reaching for each other in a high-five gesture against a purple background. The hands appear to be touching each other, indicating that they are engaging in a playful or playful activity.",abortion
1190712753545187328.jpg,ultrasound,There are two people in the image.,"The image depicts a pregnant woman in a medical office, performing an ultrasound scan on her stomach. The woman is wearing a white lab coat and a white shirt, while the doctor is wearing a white shirt and a white lab coat. The doctor is using an ultrasound machine to perform an ultrasound scan on the pregnant woman's stomach. The ultrasound machine can be used to detect abnormalities in the baby's heart rate, blood pressure, or other vital signs during pregnancy. It can also be used to monitor the development of the baby's internal organs, such as the kidneys, liver, and heart. The ultrasound machine can be used to detect abnormalities in the baby's internal organs, such as the kidneys, liver, and heart. The ultrasound machine can be used to detect abnormalities in the baby's internal organs, such as the kidneys, liver, and heart. The ultrasound machine can be used to detect abnormalities in the baby's internal organs, such as the kidneys, liver, and heart. The ultrasound machine can be used to detect abnormalities in the baby's internal organs, such as the kidneys, liver, and heart. The ultrasound machine can be",abortion
1118945791249248257.jpg,nothing,There are ten people in the image.,"The image features a group of people sitting around a table and signing a document. There is a man in a suit, a woman in a dress, and a child in a stroller. There is also a man in a suit, a woman in a dress, and a child in a stroller. There is a man in a suit, a woman in a dress, and a child in a stroller. There is a man in a suit, a woman in a dress, and a child in a stroller. There is a man in a suit, a woman in a dress, and a child in a stroller. There is a man in a suit, a woman in a dress, and a child in a stroller. There is a man in a suit, a woman in a dress, and a child in a stroller. There is a man in a suit, a woman in a dress, and a child in a stroller. There is a man in a suit,",abortion
1141294875008258049.jpg,i tried allas anti-discrimination law,There are no people in the image.,a cartoon of a man holding a ball on a chain,abortion
1252383235545292800.jpg,breaking news about jesus and mccain,There are several people in the image.,"Several protestors are gathered in front of a television to demonstrate their support for the anti-Trump movement. The protestors are holding signs that read ""Jesus Loves Mexicans"" and ""Jesus Loves Mexicans"" on a green truck. The protestors are demonstrating their support for the anti-Trump movement.",abortion
1359923968619200520.jpg,i want to be a part of something bigger than myself,There are several people in the image.,"The image shows a group of people in pink shirts standing together in a line. They are wearing pink shirts to show their support for breast cancer awareness, possibly as part of a larger event or campaign. Some of the people are holding cell phones, which may indicate that they are using them to communicate with one another.",abortion
1363489866949001216.jpg,congratulation,There are a total of 13 people in the image.,"The image shows a man in a suit and tie holding a document in front of a crowd of people wearing face masks. The man is holding the document in front of a large group of people who are also wearing face masks, indicating that they are protecting themselves from the coronavirus.",abortion
1295415246866219009.jpg,Academy for Life Criticisms So Italian Rules,There are two people in the image.,The image shows a bronze statue of a hand holding two hands with the words academy for life critics so italian for 550 euros.,abortion
1133470029347844096.jpg,nothing,There are two people in the image.,"The image features a man and a woman in scrubs sitting together in an office setting. They are wearing blue scrubs and glasses, suggesting that they are working in a medical office or clinic. There is also a clock on the wall, suggesting that they are working in a medical office or clinic.",abortion
1280573515326844929.jpg,"how we spend money is a reflection of our priorities, and to expand coverage like the hyde",There are no people in the image.,kathy ryan's quote on how we spend our money is a reflection of our priorities,abortion
1145368553622843393.jpg,We Support Pregnancy Centers,There are no people in the image.,we support pregnancy centers on a pink background with the words we support pregnancy centers,abortion
1132322341902606336.jpg,an angel holding a sword,There are no people in the image.,a black and white illustration of an angel running out of a door,abortion
1259978354964357120.jpg,an ultrasound image of a baby,There are two people in the image.,an ultrasound image of a pregnant woman,abortion
1210921786566561794.jpg,fear of the holy ghosts,There are several people in the image.,a painting of jesus riding on a donkey with angels in the background,abortion
1079412746393915392.jpg,acceptance of abortion any country leaders places the country in crisis,There are two people in the image.,a hand holding a baby with a quote about acceptance of abortion,abortion
1249104955140722688.jpg,dr. elizabeth mcgintyre,There is one person in the image.,"The image features a woman in a white lab coat, smiling and posing for a photo. She is wearing a white lab coat with a blue background, suggesting that she is a doctor or medical professional.",abortion
1256602902967341057.jpg,"states begin to loosen restrictions on economies, the act returning even individual back work",There are no people in the image.,a text with a question about the american economy,abortion
1067421341140377600.jpg,giving tuesday,There are several people in the image.,"The image depicts a map of Canada with the words ""giving tuesday"" written on it. The map is designed to encourage people to donate to the emergency response and help those affected by natural disasters.",abortion
1174819878030561280.jpg,i reject abortion kills abortion,There are several people in the image.,a group of people holding protest signs in front of the supreme court,abortion
1208432383944466432.jpg,Abortion is the ultimate Exploration of Women - Alice Paul,There are two people in the image.,abortion is the ultimate exploitation of women by alice paul,abortion
1110346636713177089.jpg,Keep abortion safe & legal,There are three people in the image.,"Three people are holding up a sign that reads keep abortion safe and legal. The sign is on a pink background with the words ""Keep Abortion Safe and Legal"" written on it.",abortion
1172692252558118912.jpg,it's time,There are several people in the image.,"The image depicts a group of women posing for a photo while holding a sign that reads ""it's time"". There are several people in the background, including a man and a woman. The woman is holding a small dog, which may indicate that she is a pet owner. The other woman is holding a camera, which may indicate that she is a photographer.",abortion
1162105892340412433.jpg,u s commission on international population planning,There are no people in the image.,a page of a document that talks about international population city planning,abortion
1303332761583968259.jpg,brazil zika epidemic shed light on wretched and undeserved health,There are two people in the image.,a poster with the words brazil and zika,abortion
1216052175790649345.jpg,the fetus is already a human being and its almost monstrous,There are no people in the image.,a green background with a quote from john carlisle,abortion
1361405035557449728.jpg,Action Alert Oppose would abortion sb 183,There are no people in the image.,a poster with the words action alert on it,abortion
1184274909113077761.jpg,samantha mcdaniel,There is one person in the image.,"The image features a woman giving a speech at a podium in front of a microphone. She is wearing a black shirt with a smile on her face and is holding a microphone in her hand. She may be giving a speech at a conference or event, or she may be giving a presentation to an audience.",abortion
1148182449681252354.jpg,what society do we claim in live allow parents to kill children,There are several people in the image.,a man is signing a document in front of a group of people,abortion
1211653884021747712.jpg,if you don't want people argue with you on the internet you shouldn't post your opinions also god is not subjects,There are no people in the image.,if you don't want people to argue with you on the internet you shouldn't post your opinions also god is not subjects,abortion
1242135336232407045.jpg,Adoption Gives Life and Love to a Family,There are two people in the image.,adoption gives life and love to a family,abortion
1143988976962850818.jpg,Bone of Consciousness,There are no people in the image.,the cover of bone of content by bette golden lamb,abortion
1075959050301509632.jpg,no text,There is one person in the image.,"The image features an older man with a mustache and glasses sitting in an office. He is wearing a suit, tie, and glasses, and is sitting in front of a table with several other people around him.",abortion
1276163332664430597.jpg,"When I grow up, I want to be...",There are two people in the image.,"The image features two young children holding stethoscopes and smiling at the camera. The caption reads, ""When I grow up, I want to be a doctor.""",abortion
1027601770623762432.jpg,katherine domingo,There are two people in the image.,kathleen domingo speaks at a microphone in front of a crowd,abortion
1024423326385618944.jpg,When people claim that the abortion industry helps people,There are no people in the image.,a cartoon with the text when people claim that the abortion industry helps people,abortion
1160000604112084995.jpg,Planned Parenthood,There are no people in the image.,a cartoon of a bull with the words planned parenthood,abortion
1163917236945465345.jpg,65% of patients have to travel up to 40 miles roundtrip,There are two people in the image.,a pie chart showing the percentage of patients who have to travel by car,abortion
1078267680564621312.jpg,nothing,There is one person in the image.,"The image features a woman sitting on the edge of a railing near a train track. She is wearing a black leather jacket and is leaning against the railing with her hands on her hips. Her face is expressionless and her eyes are closed, suggesting that she is feeling sad or upset.",abortion
1364388297095581701.jpg,The text on the image reads nathan dahm.,There are seven people in the image.,a group of people wearing face masks in a courtroom,abortion
1166802746613411840.jpg,women's health,There are four people in the image.,"An illustration of a pregnant woman in different stages of pregnancy, with her baby in her arms. The illustration highlights the importance of early detection and treatment of pre-eclampsia, which is a common complication during pregnancy. Pre-eclampsia is a common complication during pregnancy that can lead to miscarriage or stillbirth. Early detection and treatment of pre-eclampsia can reduce the risk of miscarriage or stillbirth, as well as improve the quality of life of the mother and baby.",abortion
1193297124810797056.jpg,"The text on the image reads, 'It's a Choice Child'.",There are two people in the image.,a facebook page with a picture of a baby and a coca cola,abortion
1149664896939806726.jpg,the root cause of abortion is the failure to be satisfied with great god,There are no people in the image.,the root cause of abortion is the failure to be satisfied with your life,abortion
1171519750926557186.jpg,hand holding a baby's hand,There are two people in the image.,a close up of a woman's hand holding a baby's hand,abortion
1184565692042924032.jpg,california,There are two people in the image.,two people with glasses and a woman in a suit,abortion
1174336304923992066.jpg,italy woman left to die after doctors manslaughter,There are no people in the image.,a screenshot of a news article about a woman in italy who left her twins to die,abortion
1359148325497311233.jpg,person laying on bed,There are no people in the image.,An illustration depicting a person laying on a medical table with scissors in front of them. The illustration is intended to illustrate the importance of proper hygiene and safety during medical procedures.,abortion
1228756085642858496.jpg,the suffragettes were pro-life,There are no people in the image.,the suffragettes were pro-life,abortion
1080015771504275457.jpg,abortion counseling services start on new year day,There are no people in the image.,a news article about abortion counseling services starting on new year's day,abortion
1176726230873366528.jpg,abortion is not health care it's murder,There are no people in the image.,"abortion is not health care, it's murder",abortion
1166369336640049158.jpg,"right is right, wrong is wrong, though all approve",There are no people in the image.,"a quote by charles spencer right is right, wrong is wrong, though all approve",abortion
1274091206859866112.jpg,has anyone mentioned that the police will leave you alone if you don't,There are two people in the image.,has anyone mentioned that the police will leave legal alone if you don't,abortion
1294302763338219520.jpg,Secular Pro Life Sponsor Spotlight,There are two people in the image.,"The image shows two women posing for a photo in front of a poster with the words ""Premium Mamas 2020 Sponsor Spotlight"" and ""Secular Pro Life"" written on it.",abortion
1272892615608995840.jpg,king tony,There are no people in the image.,king tony wrote a message on his phone,abortion
1180239880795951110.jpg,"right is right, wrong is wrong, though all approve",There are no people in the image.,"a quote by charles spencer right is right, wrong is wrong, though all approve",abortion
1306321963300933638.jpg,susan b anthony list national pro-life score,There are no people in the image.,a national pro-life score card with the words susan b anthony list national pro-life scorecard,abortion
1352521301555085312.jpg,007 essay on edgar allan poe by john f kennedy,There are no people in the image.,an example of a text in a book,abortion
1298943733963124736.jpg,still me still me again,There are four people in the image.,"Several photos of a baby with the captions still me, me again, and me again.",abortion
1289675181250625538.jpg,i cried at the thought of giving birth and everyone was so concerned and concerned for the world feels subject,There are 2 people in the image.,a tweet from karen west that says she cried at the thought of her baby's birth,abortion
1287780053414227972.jpg,A person is holding a pill in front of a glass of water.,There are two people in the image.,"The image shows a woman holding a pill next to a glass of water. The pill is likely to be an over-the-counter (OTC) medication, which can be taken for a variety of reasons, such as to treat a specific health condition or to prevent the development of certain diseases.",abortion
1075078617414004736.jpg,I am the Pro Life Generation,There are four people in the image.,three young women holding signs that say i am the pro life generation,abortion
1239977345190158347.jpg,Abortion diminishes and violently destroys a human being,There are two people in the image.,abortion damages and violently destroys a human being,abortion
1365041425637908488.jpg,heartbeat bill,There are no people in the image.,heartbeat bill,abortion
1293957438006349826.jpg,Nebraska just ended dismemberment abortion!,There are no people in the image.,a baby with the words nebraska just ended dismemberment abortion,abortion
1200098400491966464.jpg,Judith Jarvis Thompson A Defense of Abortion,There are no people in the image.,judith j. thompson's book cover for a defense of abortion,abortion
1211695971694006272.jpg,i support abortion as a revolutionary work,There are two people in the image.,a woman with a smile and a quote supporting abortion as a revolutionary work,abortion
1050027978875392001.jpg,You can only be a legend if you're born,There are no people in the image.,a poster that says you can only be a legend if you're born,abortion
1293310001319227392.jpg,If we do not lift up women & families everyone will fall short,There are no people in the image.,if we do not lift up women's families everyone will fall short,abortion
1167089522594734081.jpg,in 3 women will need abortion in her lifetime,There are 3 people in the image.,in 3 women will need an abortion in her lifetime,abortion
1365290724011483136.jpg,defender,There are no people in the image.,a book is open to a page with a picture of a man in a suit and tie.,abortion
1174856957607522305.jpg,Yes You Can!,There are two people in the image.,"The image features a pregnant woman posing in front of a blue background with the words ""yes you can"" written on it.",abortion
1360688451578953730.jpg,trump 2021,There are no people in the image.,"a tweet from the president of the united states, trump",abortion
1075775669223608321.jpg,no text,There is one person in the image.,"The image features an older man with a mustache and glasses sitting in an office. He is wearing a suit, tie, and glasses, and is sitting in front of a table with several other people around him.",abortion
1364660350134673409.jpg,how do republicans and democrats differ,There are no people in the image.,"a white paper with red text on it that asks the question ""why do republicans, and not democrats, support gay marriage?""",abortion
1160500744404865024.jpg,nothing,There is one person in the image.,"The image depicts a woman holding a newborn baby in her arms while standing in a room. The woman is wearing a white shirt and is holding the baby close to her body, indicating that she is taking care of the baby. The baby appears to be sleeping or resting in the woman's arms, suggesting that she is caring for the baby.",abortion
1192405734639767552.jpg,Catholic Youth and ProActive Training Day,There are 4 people in the image.,a flyer for the catholic youth and life activitiy training day,abortion
1242352115298820096.jpg,texas trump,There are four people in the image.,a tweet from texas trump's twitter account,abortion
1141397894588747778.jpg,anti abortion movement,There are four people in the image.,a comic book with the words immoral and unjust gospel centered active in body anti-abortion movement,abortion
1232350014409670658.jpg,piety of life catholics are working as an associate director,There are no people in the image.,"a text that reads, 'plenty of life catholics are working toward an alternative to president trump'",abortion
1186649921706954758.jpg,congress of the united states,There are no people in the image.,a letter from the congress of the united states,abortion
1133437927315214336.jpg,Defend Women Fight Back,There are no people in the image.,Defend Women Fight Back is written on a sign in front of a building.,abortion
1361703527781978113.jpg,when we said we will not longer sit in silence a place was being built at the abortion clinic,There are two people in the image.,"a black and white photo of a woman with a quote from martin luther king, jr.",abortion
1067502173754408960.jpg,washington cdc,There are no people in the image.,"a document with information about the number of abortions in washington, dc",abortion
1184543456871497730.jpg,nothing,There are two people in the image.,"The image features a man and a woman posing for a photo while standing on a grassy patio. The man is wearing a blue shirt and the woman is wearing a plaid shirt, suggesting that they are wearing casual attire. There is also a frisbee in the background, suggesting that they are playing a game of frisbee outdoors.",abortion
1101557513139511296.jpg,"right wing's inflammation, imagined syndromes about abortion later pregnancy women and families were",There are 2 people in the image.,"the right wing's inflammation, imagined symptoms about abortion later in pregnancy are an insult to women and families who care for them",abortion
1293294871432708097.jpg,Abortion pills are magic reproduction,There are no people in the image.,"The poster depicts a woman holding a hand with the words ""Abortion Pills Are Magic"" written on it.",abortion
1030187200359682048.jpg,man and child walking down a dirt road,There are two people in the image.,"The image depicts a man and a child walking down a dirt road. The man is holding the child's hand, while the child is walking beside him. The man and the child are likely to be enjoying their time together, as they are walking on a dirt road in a rural area. The father and the child are likely to be spending quality time together, as they are walking along the road with their hands in their pockets.",abortion
1239979859398610955.jpg,Abortion diminishes and violently destroys a human being,There are two people in the image.,abortion damages and violently destroys a human being,abortion
1072831542513360896.jpg,smile,There are no people in the image.,"The image features a baby in a brown and white pajama, smiling and sitting on a chair. The baby has blue eyes and is wearing a brown shirt with a deer pattern. The baby's hands are clasped in front of his face, indicating that he is happy and content.",abortion
1077607436935143431.jpg,santa hat,There are two people in the image.,A baby wearing a santa hat is sleeping on a white background.,abortion
1045695117548552197.jpg,span lama change staff nepal,There are two people in the image.,a photo of a woman in purple with the words nepal lama support staff nepal,abortion
